narration,category
Monthly rent payment,Rent
Apartment complex maintenance fee,Maintenance & Repairs
Electricity bill,Bills & Utilities
Groceries purchased at local market,Food
Gym membership dues,Health & Medical
Health insurance premium,Insurance/EMI
Movie tickets for a weekend outing,Entertainment
Employee salaries,Salary / Income
Car insurance premium,Insurance/EMI
Home internet bill,Bills & Utilities
Dinner at a restaurant,Food
Yoga class pass,Health & Medical
Retirement plan contribution,Salary / Income
Streaming service subscription,Entertainment
Plumbing repair for a leaky faucet,Maintenance & Repairs
Dental cleaning appointment,Health & Medical
Property tax payment,Rent
Employee bonus payment,Salary / Income
Concert tickets,Entertainment
Water bill,Bills & Utilities
Groceries at supermarket,Food
Fast food lunch,Food
Coffee shop purchase,Food
Haircut,Health & Medical
Netflix subscription,Entertainment
Spotify subscription,Entertainment
Gas bill,Bills & Utilities
Cell phone bill,Bills & Utilities
Doctor's appointment co-pay,Health & Medical
Massage therapy session,Health & Medical
Car repairs,Maintenance & Repairs
Home improvement supplies,Maintenance & Repairs
Lawn care services,Maintenance & Repairs
Life insurance premium,Insurance/EMI
Disability insurance premium,Insurance/EMI
Dental insurance premium,Insurance/EMI
Vision insurance premium,Insurance/EMI
Theater tickets,Entertainment
Hospital bills,Health & Medical
Museum admission,Entertainment
Amusement park tickets,Entertainment
Live music events,Entertainment
Sporting events tickets,Entertainment
clinic,Health & Medical
doctor,Health & Medical
Annual bonus for employees,Salary / Income
Weekly payment to part-time staff,Salary / Income
Commission payout for sales staff,Salary / Income
Hourly wages for temporary workers,Salary / Income
Payment for overtime work,Salary / Income
medicine,Health & Medical
pharmacy,Health & Medical
End-of-year performance bonus,Salary / Income
Holiday bonus for team members,Salary / Income
Salaries paid to full-time staff,Salary / Income
Internship stipend for summer interns,Salary / Income
UPI transfer to friend,Transfer/UPI
UPI payment to merchant,Transfer/UPI
PhonePe UPI transaction,Transfer/UPI
Google Pay UPI payment,Transfer/UPI
Paytm UPI transfer,Transfer/UPI
IMPS transfer sent,Transfer/UPI
NEFT transfer to bank account,Transfer/UPI
RTGS fund transfer,Transfer/UPI
UPI mandate debit,Transfer/UPI
UPI collect request paid,Transfer/UPI
Jio prepaid recharge,Recharge/Topup
Airtel mobile recharge,Recharge/Topup
VI recharge payment,Recharge/Topup
BSNL recharge,Recharge/Topup
DTH recharge Tata Play,Recharge/Topup
Dish TV recharge,Recharge/Topup
Mobile topup via Paytm,Recharge/Topup
Fastag recharge,Recharge/Topup
Swiggy food order,Food
Zomato dinner order,Food
Dominos pizza order,Food
Cafe Coffee Day purchase,Food
Chai point snacks,Food
McDonalds meal payment,Food
KFC order payment,Food
Street food vendor payment,Food
Restaurant bill payment,Food
Amazon India purchase,Shopping
Flipkart order payment,Shopping
Myntra fashion order,Shopping
Ajio clothing purchase,Shopping
Reliance Digital electronics purchase,Shopping
DMart grocery shopping,Groceries / Daily Needs
BigBasket grocery delivery,Groceries / Daily Needs
JioMart online grocery order,Groceries / Daily Needs
Uber cab ride,Travel & Commute
Ola ride payment,Travel & Commute
Rapido bike ride,Travel & Commute
Auto rickshaw fare,Travel & Commute
Metro card recharge,Travel & Commute
IRCTC train ticket booking,Travel & Commute
Flight ticket booking Indigo,Travel & Commute
Bus ticket RedBus booking,Travel & Commute
Petrol pump fuel payment,Travel & Commute
Electricity bill BESCOM,Bills & Utilities
MSEB electricity bill payment,Bills & Utilities
Water bill municipal corporation,Bills & Utilities
Gas bill Indane,Bills & Utilities
HP gas cylinder booking,Bills & Utilities
Broadband bill JioFiber,Bills & Utilities
Airtel WiFi bill payment,Bills & Utilities
Mobile postpaid bill payment,Bills & Utilities
BookMyShow movie tickets,Entertainment
PVR cinema tickets,Entertainment
Netflix subscription renewal,Entertainment
Amazon Prime subscription,Entertainment
Hotstar subscription payment,Entertainment
Spotify premium subscription,Entertainment
YouTube premium subscription,Entertainment
Concert event tickets,Entertainment
Apollo hospital bill,Health & Medical
Fortis hospital charges,Health & Medical
1mg medicine order,Health & Medical
PharmEasy pharmacy purchase,Health & Medical
Doctor consultation Practo,Health & Medical
Dental clinic payment,Health & Medical
Medical insurance claim co-pay,Health & Medical
LIC insurance premium payment,Insurance/EMI
HDFC life insurance premium,Insurance/EMI
Car loan EMI payment,Insurance/EMI
Home loan EMI debit,Insurance/EMI
Personal loan installment,Insurance/EMI
Credit card bill payment,Insurance/EMI
Bike insurance renewal,Insurance/EMI
College semester fees payment,Education
School tuition fees,Education
Online course payment Udemy,Education
Coaching class fees,Education
Book purchase for studies,Education
Exam registration fee,Education
Zara clothing purchase,Clothing & Apparel
H&M apparel shopping,Clothing & Apparel
Pantaloons store purchase,Clothing & Apparel
Westside fashion shopping,Clothing & Apparel
Footwear purchase Bata,Clothing & Apparel
Salary credited via NEFT,Salary / Income
Monthly salary payment,Salary / Income
Internship stipend credited,Salary / Income
Freelance payment received,Salary / Income
Bonus credited from employer,Salary / Income
Amazon refund processed,Refund
Flipkart refund credited,Refund
UPI reversal credited,Refund
Chargeback received,Refund
Cashback credited,Refund
Donation to temple trust,Others
Gift payment to friend,Others
Charity contribution,Others
Random transaction debit,Others
Miscellaneous expense,Others
Gym fees,Health & Medical
Monthly gym membership,Health & Medical
Fitness center payment,Health & Medical
Workout subscription,Health & Medical
Yoga class fees,Health & Medical
vegetable shopping,Food
fruit juice,Food
supermarket shopping,Food
milk purchase,Food
milk bill,Food
milk from dairy shop,Food
